period,area,car,onroad,outroad,building,rate
,sudeamoon,"71,452","4,219","1,682","73,420",111
,mapo,"97,366","4,475","2,139","103,592",113.2
,yangchun,"123,962","2,908","4,115","110,595",94.9
,kangseo,"162,313","4,714","2,345","155,960",100.4
,gooro,"110,153","2,912","1,773","104,956",99.5
,gmchun,"66,815","2,388","1,441","47,284",76.5
,yeongdngpo,"111,536","5,617","2,792","88,167",86.6
,dongjack,"92,000","2,639",939,"102,285",115.1
,gwanak,"99,661","5,486","1,875","102,350",110.1
,seocho,"151,834","4,848","2,314","137,277",95.1
,gangnam,"197,246","7,811","5,001","171,984",93.7
,songpa,"199,517","13,413","4,927","186,113",102.5
,gangdong,"113,415","8,163","1,785","113,204",108.6
2020,seoul,"2,581,992","110,267","55,943","2,509,837",103.6
,jongro,"38,953","1,793","1,354","32,415",91.3
,joongu,"38,552",896,"2,140","31,379",89.3
,yongsan,"68,904","3,691","2,181","68,591",108.1
,sungdong,"82,602","4,709","2,281","82,350",108.2
,kwangjin,"79,661","3,175","2,176","87,749",116.9
,dongdeamoon,"79,184","3,870","1,765","86,059",115.8
,joongrang,"88,177","6,374","3,514","89,389",112.6
,sungbook,"101,842","5,285","1,783","109,044",114
,gangbook,"60,792","2,966","2,088","67,048",118.6
,dobong,"76,473","3,200","1,723","82,342",114.1
,nowon,"128,202","2,165","1,100","133,484",106.7
,enpyeong,"110,148","3,135","1,690","124,780",117.7
,sudeamoon,"74,360","4,083","1,244","67,773",98.3
,mapo,"99,114","4,244","1,923","98,459",105.6
,yangchun,"126,383","3,172","4,292","118,660",99.8
,kangseo,"163,102","4,603","3,107","164,351",105.5
,gooro,"112,412","2,799","1,468","110,296",101.9
,gmchun,"68,114","2,295","1,389","48,007",75.9
,yeongdngpo,"116,304","5,617","2,792","88,167",83
,dongjack,"92,416","2,552",921,"103,661",115.9
,gwanak,"99,684","5,579","1,523","103,800",111.3
,seocho,"152,795","4,761","2,401","137,311",94.6
,gangnam,"198,555","8,881","4,472","172,404",93.6
,songpa,"201,270","12,657","5,151","178,615",97.6
,gangdong,"123,993","7,765","1,465","123,703",107.2
